Date,Bundesland,Anzahl,Differenz zum  Vortag,Fälle in den  letzten 7 Tagen,7-Tage- Inzidenz,Todesfälle
02-03-2021,Baden-Württemberg,317.441,398,5.764,52,8.102
02-03-2021,Bayern,438.050,443,8.605,66,12.429
02-03-2021,Berlin,129.594,244,2.301,63,2.824
02-03-2021,Brandenburg,76.721,155,1.647,65,3.024
02-03-2021,Bremen,18.071,25,554,81,342
02-03-2021,Hamburg,52.035,256,1.371,74,1.278
02-03-2021,Hessen,188.912,289,4.070,65,5.843
02-03-2021,Mecklenburg-Vorpommern,24.609,55,1.064,66,745
02-03-2021,Niedersachsen,165.334,470,5.294,66,4.326
02-03-2021,Nordrhein-Westfalen,533.871,723,11.536,64,13.141
02-03-2021,Rheinland-Pfalz,102.436,175,2.032,50,3.111
02-03-2021,Saarland,28.980,20,682,69,872
02-03-2021,Sachsen,194.778,221,3.307,81,7.817
02-03-2021,Sachsen-Anhalt,60.905,186,2.032,93,2.425
02-03-2021,Schleswig-Holstein,42.638,97,1.444,50,1.304
02-03-2021,Thüringen,76.636,186,2.670,125,2.880
02-03-2021,,,,,,
