Date,Bundesland,Anzahl,Differenz zum Vortag,Fälle/100.000 Einw.,Todesfälle
15-04-2020,Baden-Württem­berg,25.438,+398,230,767
15-04-2020,Bayern,34.294,+725,262,954
15-04-2020,Berlin,4.722,+54,126,62
15-04-2020,Brandenburg,1.950,+34,78,42
15-04-2020,Bremen,500,+8,73,21
15-04-2020,Hamburg,3.869,+61,210,67
15-04-2020,Hessen,6.347,+164,101,173
15-04-2020,"Mecklenburg-
Vor­pommern",624,+5,39,11
15-04-2020,Niedersachsen,8.019,+134,100,224
15-04-2020,Nordrhein-West­falen,25.835,+535,144,607
15-04-2020,Rhein­land-Pfalz,5.004,+124,123,77
15-04-2020,Saarland,2.145,+33,217,58
15-04-2020,Sachsen,3.819,+68,94,73
15-04-2020,Sachsen-Anhalt,1.223,+16,55,26
15-04-2020,Schles­wig-Holstein,2.245,+81,78,54
15-04-2020,Thüringen,1.550,+46,72,38
