Date,Bundesland,Anzahl,Differenz zum Vortag,Fälle/100.000 Einw.,Todesfälle,Besonders betroffene Gebiete
29-03-2020,Baden-Württem­berg,9.794,+13*,88,101,
29-03-2020,Bayern,12.881,+1.731,99,107,
29-03-2020,Berlin,2.360,+199,63,9,
29-03-2020,Brandenburg,721,+76,29,1,
29-03-2020,Bremen,275,+15,40,2,
29-03-2020,Hamburg,1.846,+81,100,4,
29-03-2020,Hessen,2.605,+1*,42,9,
29-03-2020,Mecklenburg-Vor­pommern,348,+40,22,1,
29-03-2020,Niedersachsen,3.450,+300,43,21,
29-03-2020,Nordrhein-West­falen,11.400,+793,64,98,Landkreis Heinsberg
29-03-2020,Rhein­land-Pfalz,2.396,+184,59,12,
29-03-2020,Saarland,560,+10*,57,2,
29-03-2020,Sachsen,1.617,+185,40,9,
29-03-2020,Sachsen-Anhalt,592,+134,27,2,
29-03-2020,Schles­wig-Holstein,1.005,+90,35,6,
29-03-2020,Thüringen,697,+113,33,5,
